Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
House,Shared room,Shared room,Real Bed,1,7,0,2,1,2,1,79,0,0,1,Yüksel Erdinç,"Istanbul, Istanbul, Turkey",0,1,"Üsküdar, İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,29.03115,41.01955,30,60,90,180,0,0,0,0,0,0,0
Cozy Double Room Flat in Taksim 2,Entire home/apt,Entire home/apt,Real Bed,2,29,56,2,1,1,1,148,0,60,2,Volkan,"Istanbul, Istanbul Province, Turkey",100,11,"Istanbul, Istanbul Province, Turkey",Taksim,Beyoglu,Istanbul,Turkey,TR,28.97523,41.03674,21,51,81,334,9,9,9,10,9,9,91
Felix’s Home,Entire home/apt,Entire home/apt,Real Bed,2,1125,36,5,2,5,1,100,250,60,4,Felix,"New South Wales, Australia",0,2,"Eastlakes, NSW, Australia",Eastlakes,Botany Bay,Sydney,Australia,AU,151.21113,-33.92506,0,0,0,0,9,8,10,10,9,9,85
HUGE MAMBO ITALIANO (Loft),Entire home/apt,Entire home/apt,Real Bed,2,1125,30,5,0,2,1,99,0,28,1,Mario,CA,80,1,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.60175,45.52779,1,1,1,1,9,9,9,9,9,9,88
Porto Náutico 5 | Deluxe Studio,Entire home/apt,Entire home/apt,Real Bed,1,1125,1,2,0,2,1,60,0,0,2,Porto,"Porto, Porto District, Portugal",100,13,"Porto, Portugal, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61233,41.15187,24,54,77,266,10,10,10,10,10,10,100
Formosa60.5,Entire home/apt,Entire home/apt,Real Bed,2,1125,37,3,1,2,1,59,0,25,2,Formosa60.5,"Carnaxide, Lisboa, Portugal",100,1,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.602,41.14642,23,53,83,157,10,10,10,10,10,10,97
Room in the center of Barcelona,Private room,Private room,Real Bed,4,270,0,1,0,1,1,2000,0,0,1,Gustavo,ES,0,1,"Barcelona, Catalunya, Spain",El Raval,el Raval,Barcelona,Spain,ES,2.17262,41.37539,30,60,90,180,0,0,0,0,0,0,0
Modern 1 bedroom Apartment Downtown MTL - 16,Entire home/apt,Entire home/apt,Real Bed,2,1125,19,4,1,2,1,115,250,70,1,MTL Stays,"Montreal, Quebec, Canada",100,12,"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,-73.58017,45.50139,19,44,74,159,10,10,10,10,10,10,99
Nearly everwhere,Private room,Private room,Real Bed,1,5,0,1,1,1,1,148,0,0,1,Hilmi,TR,0,1,"İstanbul , İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,29.0316,41.02806,23,53,83,173,0,0,0,0,0,0,0
Luxury Beach side Accommodation with pool,Private room,Private room,Real Bed,3,1125,13,3,2,2,1,200,180,20,1,Richard,"Manly, New South Wales, Australia",100,1,"North Curl Curl, NSW, Australia",,Warringah,Sydney,Australia,AU,151.30023,-33.7639,5,26,56,317,9,9,10,10,10,9,95
